@batch, 1.12
2.07487e-03  3.86458e-04  5.36895e+00
1.66447e-02  1.62163e-03  1.02642e+01
1.31709e-01  1.28811e-02  1.02250e+01
1.03472e+00  8.31800e-02  1.24395e+01
8.07381e+00  5.52472e-01  1.46140e+01
6.52171e+01  5.15576e+00  1.26494e+01

@batch minbatch=128, 1.12
2.07171e-03  4.51791e-04  4.58555e+00
1.62838e-02  2.16667e-03  7.51559e+00
1.28061e-01  1.29783e-02  9.86731e+00
1.00549e+00  7.84665e-02  1.28143e+01
7.84982e+00  3.80625e-01  2.06235e+01
6.42321e+01  4.88473e+00  1.31496e+01


tforeach, ntasks=formula, 1.12
2.07288e-03  5.90375e-04  3.51112e+00
1.62754e-02  3.76954e-03  4.31760e+00
1.28138e-01  3.21962e-02  3.97992e+00
1.00562e+00  1.32630e-01  7.58216e+00
7.85360e+00  5.93850e-01  1.32249e+01
6.51782e+01  5.80221e+00  1.12334e+01


@batch, 1.13
2.15821e-03  3.27416e-04  6.59164e+00
1.65223e-02  2.88921e-03  5.71864e+00
1.30450e-01  2.42070e-02  5.38894e+00
1.05514e+00  1.82006e-01  5.79726e+00
8.22081e+00  1.32156e+00  6.22053e+00
6.64039e+01  1.20424e+01  5.51420e+00

@batch minbatch=128, 1.13
2.16062e-03  3.27750e-04  6.59230e+00
1.65250e-02  2.88929e-03  5.71940e+00
1.30530e-01  2.41282e-02  5.40985e+00
1.05091e+00  1.78100e-01  5.90070e+00
8.13258e+00  1.32245e+00  6.14965e+00
6.63676e+01  1.20352e+01  5.51446e+00


tforeach, ntasks=formula, 1.13
2.16475e-03  5.04959e-04  4.28698e+00
1.65453e-02  3.49967e-03  4.72769e+00
1.30530e-01  2.36603e-02  5.51685e+00
1.03155e+00  1.12431e-01  9.17494e+00
8.21559e+00  5.51716e-01  1.48910e+01
6.64172e+01  5.74444e+00  1.15620e+01

